#TYPICAL METEOROLOGICAL YEAR (P50) - HOURLY VALUES OF SOLAR RADIATION AND METEOROLOGICAL PARAMETERS
#
#Customer name: FICHTNER GmbH & Co. KG
#Issued: 2019-03-19 10:58
#
#Site name: Abu Dhabi PV2, United Arab Emirates (AE)
#Latitude: 24.133889
#Longitude: 54.520833
#Elevation: 31.0 m a.s.l.
#http://solargis.info/imaps/#tl=Google:satellite&loc=24.133889,54.520833&z=14 
#
#
#Output from the climate database Solargis v2.1.28
#
#Solar radiation data
#Description: data calculated from Meteosat MSG IODC and Meteosat MFG IODC satellite data ((c) 2019 EUMETSAT) and from atmospheric data ((c) 2019 ECMWF, NOAA and NASA) by Solargis method 
#Summarization type: hourly (typical meteorological year)
#Summarization period: 01/01/1999 - 31/12/2018
#Spatial resolution: 250 m
#
#Meteorological data
#Description: spatially disaggregated from CFSR, CFSv2 and GFS ((c) 2019 NOAA) and MERRA2 ((c) 2019 NASA) by Solargis method 
#Summarization type: hourly (typical meteorological year)
#Summarization period: 01/01/1999 - 31/12/2018
#Spatial resolution: temperature 1 km, other meteorological parameters 33 km to 55 km
#
#Service provider: Solargis s.r.o., M. Marecka 3, Bratislava, Slovakia
#Company ID: 45 354 766, VAT Number: SK2022962766
#Registration: Business register, District Court Bratislava I, Section Sro, File 62765/B
#http://solargis.com, contact@solargis.com
#
#Disclaimer:
#Considering the nature of climate fluctuations, interannual and long-term changes, as well as the uncertainty of measurements and calculations, Solargis s.r.o. cannot take full guarantee of the accuracy of estimates. The maximum possible has been done for the assessment of climate conditions based on the best available data, software and knowledge. Solargis s.r.o. shall not be liable for any direct, incidental, consequential, indirect or punitive damages arising or alleged to have arisen out of use of the provided data. Solargis is a trade mark of Solargis s.r.o.
#
#Copyright (c) 2019 Solargis s.r.o.
#
#
#TMY method: SolarGIS_2
#TMY created from following years: 1:2007 2:2014 3:2001 4:2008 5:2009 6:2001 7:2009 8:2010 9:2003 10:2004 11:2009 12:2003 
#
#Columns:
#Day - Day of year
#Time - Time reference UTC+4, time step 60 min, time format HH:MM, center of the averaging interval
#GHI - Global horizontal irradiation [Wh/m2], no data value -9
#DNI - Direct normal irradiation [Wh/m2], no data value -9
#DIF - Diffuse horizontal irradiation [Wh/m2], no data value -9
#SE - Sun altitude (elevation) angle [deg.]
#SA - Sun azimuth angle [deg.]
#TEMP - Air temperature at 2 m [deg. C]
#WS - Wind speed at 10 m [m/s]
#WD - Wind direction at 10 m [deg.]
#RH - Relative humidity [%]
#AP - Atmospheric pressure [hPa]
#PWAT - Precipitable water [kg/m2], no data value -99
#
#Data:
Day;Time;GHI;DNI;DIF;SE;SA;TEMP;WS;WD;RH;AP;PWAT
2;7:30;53;106;40;4.39;-62.45;16.5;6.1;317;63.8;1019.9;16.5
2;8:30;192;243;130;15.90;-54.99;17.8;7.1;320;58.4;1020.9;17.3
2;9:30;237;72;208;26.39;-45.37;18.8;7.6;323;54.4;1021.5;17.7
2;10:30;385;199;270;35.02;-32.82;19.5;7.8;323;51.7;1021.1;17.7
2;11:30;511;271;340;40.79;-16.94;20.1;7.9;322;49.7;1020.1;17.6
2;12:30;526;279;342;42.66;1.32;20.3;8.1;321;48.8;1019.1;17.1
2;13:30;562;411;301;40.19;19.37;20.2;8.2;320;48.6;1018.5;16.4
2;14:30;499;466;245;33.95;34.79;19.8;8.1;317;49.1;1018.5;15.7
2;15:30;350;375;192;25.01;46.88;19.1;7.8;315;51.3;1018.7;15.3
2;16:30;184;282;112;14.32;56.15;17.9;7.0;313;55.4;1019.3;15.3
2;17:30;38;64;30;2.90;63.37;16.6;5.7;310;61.7;1019.9;15.1
2;18:30;0;0;0;-10.02;69.20;15.7;5.1;308;66.7;1020.6;14.6
2;19:30;0;0;0;-23.12;74.09;15.3;4.9;306;68.3;1020.6;14.3
2;20:30;0;0;0;-36.40;78.41;15.1;4.9;304;68.4;1020.6;14.1
2;21:30;0;0;0;-49.88;82.46;15.0;4.9;303;68.2;1020.5;14.0
2;22:30;0;0;0;-63.50;86.71;14.8;4.9;303;68.1;1020.5;13.7
2;23:30;0;0;0;-77.16;93.96;14.7;4.9;304;67.9;1020.5;13.6
3;0:30;0;0;0;-85.64;179.64;14.6;5.0;305;68.0;1020.6;13.6
3;1:30;0;0;0;-75.24;-92.11;14.5;5.1;307;68.4;1020.2;13.6
3;2:30;0;0;0;-61.58;-86.07;14.6;5.3;310;68.6;1019.6;13.5
3;3:30;0;0;0;-48.01;-81.96;14.8;5.5;312;68.3;1019.6;13.4
3;4:30;0;0;0;-34.59;-77.97;15.0;5.6;314;67.6;1020.0;13.6
3;5:30;0;0;0;-21.33;-73.57;15.3;5.5;315;67.1;1020.5;13.8
3;6:30;0;0;0;-8.14;-68.57;15.6;5.5;316;65.3;1020.9;13.9
3;7:30;58;130;42;4.34;-62.58;16.5;6.0;316;61.4;1021.8;14.0
3;8:30;214;350;118;15.87;-55.13;17.8;6.7;315;56.1;1022.3;14.0
3;9:30;291;200;211;26.38;-45.52;18.9;7.1;314;51.7;1022.5;13.8
3;10:30;272;65;237;35.05;-32.99;19.6;7.4;311;48.6;1022.1;13.7
3;11:30;491;306;297;40.85;-17.10;20.2;7.7;309;46.6;1021.1;13.6
3;12:30;597;458;291;42.75;1.18;20.4;8.1;306;46.3;1020.0;13.6
3;13:30;589;515;263;40.31;19.28;20.2;8.4;306;46.8;1019.4;13.6
3;14:30;502;509;220;34.09;34.75;19.7;8.7;307;48.5;1019.3;13.3
3;15:30;387;568;153;25.14;46.88;18.8;8.7;309;51.2;1019.4;12.9
3;16:30;209;469;89;14.45;56.17;17.6;8.0;310;55.7;1019.9;12.5
3;17:30;43;115;29;3.01;63.40;16.4;6.9;311;60.6;1020.9;12.0
3;18:30;0;0;0;-9.90;69.24;15.8;6.2;310;63.2;1021.4;11.4
3;19:30;0;0;0;-22.99;74.15;15.6;6.0;310;63.8;1021.6;11.0
3;20:30;0;0;0;-36.28;78.49;15.5;5.7;311;63.8;1021.6;10.9
3;21:30;0;0;0;-49.77;82.57;15.4;5.5;312;63.3;1021.6;11.1
3;22:30;0;0;0;-63.39;86.88;15.4;5.3;313;62.1;1021.2;11.6
3;23:30;0;0;0;-77.05;94.32;15.4;5.0;316;60.8;1020.6;12.1
4;0:30;0;0;0;-85.61;179.46;14.9;4.4;320;61.2;1020.5;12.4
4;1:30;0;0;0;-75.33;-92.59;14.1;3.7;325;63.4;1020.5;12.4
4;2:30;0;0;0;-61.66;-86.30;13.4;3.4;330;65.8;1020.1;11.9
4;3:30;0;0;0;-48.09;-82.13;12.9;3.1;336;67.2;1019.9;11.3
4;4:30;0;0;0;-34.66;-78.11;12.9;2.7;344;67.4;1020.5;10.8
4;5:30;0;0;0;-21.40;-73.71;13.0;2.3;354;66.7;1021.0;10.5
4;6:30;0;0;0;-8.20;-68.70;13.3;1.9;9;65.1;1022.0;10.4
4;7:30;65;263;33;4.30;-62.72;14.5;1.8;26;60.5;1022.6;10.3
4;8:30;249;649;70;15.85;-55.27;16.9;2.2;40;51.1;1022.9;10.4
4;9:30;446;800;94;26.38;-45.68;18.9;3.1;45;42.1;1023.5;10.2
4;10:30;605;875;109;35.07;-33.16;20.1;3.5;45;37.0;1023.1;9.8
4;11:30;706;914;116;40.91;-17.27;21.0;3.4;37;34.0;1022.1;9.6
4;12:30;739;925;118;42.85;1.05;21.6;3.4;25;32.4;1021.1;9.5
4;13:30;698;911;115;40.44;19.20;21.9;3.7;17;31.7;1020.2;9.4
4;14:30;589;869;107;34.22;34.72;21.9;4.0;12;32.0;1019.6;9.4
4;15:30;424;788;92;25.28;46.88;21.5;4.2;9;33.6;1019.3;9.4
4;16:30;225;621;66;14.59;56.19;20.0;4.0;4;38.6;1019.5;9.2
4;17:30;47;159;27;3.12;63.45;17.7;3.7;358;47.0;1020.0;9.1
4;18:30;0;0;0;-9.77;69.30;16.6;4.0;269;53.3;1020.5;9.0
4;19:30;0;0;0;-22.87;74.22;16.0;4.2;4;57.6;1021.0;8.9
4;20:30;0;0;0;-36.15;78.58;15.4;4.1;14;60.6;1021.2;8.8
4;21:30;0;0;0;-49.65;82.69;14.7;3.9;24;62.0;1020.8;8.5
4;22:30;0;0;0;-63.27;87.07;14.0;3.7;33;62.5;1020.7;8.0
4;23:30;0;0;0;-76.93;94.71;13.3;3.5;43;62.8;1020.3;7.5
5;0:30;0;0;0;-85.56;179.28;12.6;3.4;50;63.1;1019.7;7.1
5;1:30;0;0;0;-75.41;-93.12;12.0;3.2;54;63.5;1019.6;6.8
5;2:30;0;0;0;-61.75;-86.54;11.5;3.0;56;63.9;1019.6;6.7
5;3:30;0;0;0;-48.17;-82.31;11.2;2.9;58;64.2;1019.6;6.7
5;4:30;0;0;0;-34.73;-78.27;11.0;2.6;57;64.3;1019.8;6.9
5;5:30;0;0;0;-21.46;-73.85;10.9;2.5;60;64.5;1020.2;7.2
5;6:30;0;0;0;-8.26;-68.84;10.8;2.4;66;64.6;1021.0;7.7
5;7:30;66;286;31;4.27;-62.86;12.0;2.4;78;59.8;1021.6;8.2
5;8:30;252;688;63;15.83;-55.42;14.4;2.3;87;50.5;1022.0;8.6
5;9:30;441;812;85;26.39;-45.84;16.9;2.7;71;42.5;1022.3;8.9
5;10:30;592;864;102;35.11;-33.33;19.7;3.9;54;35.3;1021.4;9.0
5;11:30;685;883;114;40.99;-17.44;20.9;4.1;50;31.6;1020.3;9.1
5;12:30;718;897;115;42.96;0.91;21.7;4.0;46;29.0;1019.2;9.0
5;13:30;663;807;145;40.57;19.12;22.2;4.0;40;27.1;1018.4;8.8
5;14:30;524;625;181;34.37;34.69;22.4;3.9;33;26.5;1017.7;8.7
5;15:30;400;710;100;25.43;46.89;22.1;3.7;28;27.0;1017.5;8.6
5;16:30;213;511;80;14.73;56.22;20.2;3.3;20;31.3;1017.5;8.2
5;17:30;47;131;31;3.24;63.49;17.4;3.2;12;38.8;1017.6;7.9
5;18:30;0;0;0;-9.64;69.36;16.2;3.6;11;44.1;1018.1;7.7
5;19:30;0;0;0;-22.74;74.30;15.5;3.6;14;48.8;1018.6;7.6
5;20:30;0;0;0;-36.03;78.68;14.8;3.5;20;52.9;1018.6;7.7
5;21:30;0;0;0;-49.53;82.83;14.1;3.2;32;55.8;1018.2;7.6
5;22:30;0;0;0;-63.16;87.28;13.6;2.8;49;57.4;1017.6;7.4
5;23:30;0;0;0;-76.81;95.13;13.0;2.6;63;58.1;1017.2;7.3
6;0:30;0;0;0;-85.52;179.11;12.5;2.3;72;58.5;1016.3;7.2
6;1:30;0;0;0;-75.49;-93.69;12.1;2.0;77;58.7;1015.7;7.1
6;2:30;0;0;0;-61.83;-86.80;11.9;1.8;79;58.9;1015.6;7.0
6;3:30;0;0;0;-48.25;-82.51;11.8;1.6;79;58.7;1015.6;7.1
6;4:30;0;0;0;-34.80;-78.44;11.8;1.3;74;58.0;1016.0;7.5
6;5:30;0;0;0;-21.52;-74.00;11.9;1.0;65;56.8;1017.0;7.5
6;6:30;0;0;0;-8.31;-68.98;12.1;0.8;63;55.8;1017.6;7.2
6;7:30;31;10;30;4.23;-63.01;13.1;0.8;79;53.0;1017.7;6.9
6;8:30;194;280;109;15.81;-55.58;14.9;0.9;98;47.3;1018.1;6.7
6;9:30;434;718;118;26.40;-46.01;17.2;0.7;95;40.9;1018.2;6.8
6;10:30;552;689;165;35.15;-33.51;19.9;0.3;242;34.4;1017.6;7.2
6;11:30;691;841;146;41.07;-17.60;21.6;1.3;271;30.6;1017.1;7.5
6;12:30;735;925;113;43.07;0.78;22.4;2.1;279;29.5;1016.1;7.9
6;13:30;687;891;115;40.71;19.04;22.8;2.8;293;29.9;1015.2;8.3
6;14:30;575;834;110;34.52;34.67;22.7;3.4;305;30.9;1015.0;8.5
6;15:30;414;752;94;25.58;46.90;22.3;3.5;316;33.4;1015.5;8.8
6;16:30;225;619;66;14.88;56.26;20.5;3.1;324;39.5;1015.6;9.2
6;17:30;52;254;26;3.36;63.55;17.8;2.8;330;48.8;1016.1;9.6
6;18:30;0;0;0;-9.50;69.43;16.6;2.9;333;55.9;1016.7;9.7
6;19:30;0;0;0;-22.61;74.39;16.0;2.7;335;60.9;1017.2;9.8
6;20:30;0;0;0;-35.91;78.79;15.6;2.4;336;63.9;1017.5;10.1
6;21:30;0;0;0;-49.41;82.97;15.4;2.1;335;65.6;1017.2;10.7
6;22:30;0;0;0;-63.04;87.50;15.4;1.5;337;65.3;1016.3;11.5
6;23:30;0;0;0;-76.70;95.58;15.6;0.5;266;63.6;1015.4;12.0
7;0:30;0;0;0;-85.46;178.94;15.4;0.3;127;63.2;1014.7;12.0
7;1:30;0;0;0;-75.57;-94.30;15.2;0.2;133;63.8;1014.6;12.4
7;2:30;0;0;0;-61.91;-87.08;15.0;0.3;334;64.6;1014.6;13.0
7;3:30;0;0;0;-48.32;-82.71;14.8;0.7;341;65.8;1014.9;13.8
7;4:30;0;0;0;-34.86;-78.61;14.6;0.8;347;66.6;1015.6;15.0
7;5:30;0;0;0;-21.57;-74.16;14.5;0.6;182;67.3;1015.9;15.6
7;6:30;0;0;0;-8.36;-69.13;14.5;0.4;63;67.8;1016.6;15.4
7;7:30;55;140;38;4.21;-63.16;15.0;0.7;128;65.9;1016.6;15.2
7;8:30;220;402;109;15.81;-55.74;16.5;0.9;147;60.0;1017.0;15.2
7;9:30;407;556;163;26.41;-46.18;18.7;0.4;205;50.8;1017.5;15.4
7;10:30;563;657;191;35.20;-33.69;20.9;0.6;287;40.3;1017.1;15.9
7;11:30;663;710;204;41.15;-17.77;22.1;1.0;287;35.2;1015.9;16.4
7;12:30;696;727;207;43.19;0.65;22.9;1.4;292;32.8;1014.7;17.0
7;13:30;658;708;203;40.85;18.98;23.3;1.9;296;31.6;1014.2;17.9
7;14:30;553;652;189;34.67;34.66;23.4;2.1;300;31.7;1013.6;19.0
7;15:30;395;553;158;25.73;46.93;22.9;2.2;303;33.4;1013.6;19.9
7;16:30;207;391;103;15.03;56.31;21.6;2.0;307;37.9;1014.0;20.3
7;17:30;45;117;32;3.48;63.61;19.7;2.1;318;45.1;1014.5;20.9
7;18:30;0;0;0;-9.37;69.50;18.4;2.4;327;51.1;1014.9;21.7
7;19:30;0;0;0;-22.48;74.48;17.6;2.5;333;56.6;1015.5;22.1
7;20:30;0;0;0;-35.79;78.90;16.9;2.5;338;62.0;1015.5;21.9
7;21:30;0;0;0;-49.29;83.13;16.3;2.4;341;66.6;1015.2;21.7
7;22:30;0;0;0;-62.93;87.73;16.0;2.2;344;69.8;1014.7;21.9
7;23:30;0;0;0;-76.58;96.06;15.7;2.1;347;72.1;1014.6;21.9
8;0:30;0;0;0;-85.41;178.74;15.4;2.1;350;74.3;1014.5;21.7
8;1:30;0;0;0;-75.64;-94.95;15.1;2.2;353;76.7;1014.3;21.8
8;2:30;0;0;0;-61.98;-87.38;14.9;2.3;355;78.3;1013.9;22.1
8;3:30;0;0;0;-48.39;-82.93;14.9;2.3;179;78.9;1014.0;22.6
8;4:30;0;0;0;-34.92;-78.79;14.9;2.1;10;78.9;1014.6;23.0
8;5:30;0;0;0;-21.62;-74.32;14.9;1.8;26;78.9;1014.9;23.4
8;6:30;0;0;0;-8.41;-69.29;14.9;1.6;46;79.0;1015.4;23.7
8;7:30;37;21;34;4.18;-63.32;15.7;1.5;66;75.4;1015.6;24.0
8;8:30;173;137;132;15.80;-55.90;17.5;1.5;74;66.7;1016.1;24.4
8;9:30;356;321;214;26.44;-46.36;19.5;1.1;53;55.5;1016.6;24.7
8;10:30;501;396;276;35.25;-33.87;21.2;0.9;184;46.6;1016.1;24.9
8;11:30;573;383;324;41.24;-17.94;22.4;1.3;326;42.2;1014.9;25.0
8;12:30;636;481;311;43.32;0.53;23.4;2.3;314;40.3;1013.7;25.0
8;13:30;601;466;299;41.01;18.91;23.6;3.4;312;41.5;1013.2;25.2
8;14:30;499;404;272;34.83;34.65;23.1;4.3;314;44.5;1012.9;25.4
8;15:30;348;327;207;25.89;46.96;22.3;4.9;316;49.4;1013.5;25.7
8;16:30;175;193;122;15.18;56.36;21.0;5.2;317;56.5;1014.0;26.6
8;17:30;35;28;31;3.61;63.68;19.6;5.2;318;64.8;1014.9;27.0
8;18:30;0;0;0;-9.23;69.59;18.7;5.1;319;71.2;1015.9;26.6
8;19:30;0;0;0;-22.35;74.58;17.9;4.7;320;75.1;1016.5;25.6
8;20:30;0;0;0;-35.66;79.03;17.2;4.3;321;77.0;1016.5;24.8
8;21:30;0;0;0;-49.17;83.29;16.7;4.3;323;78.1;1016.5;23.8
8;22:30;0;0;0;-62.81;87.98;16.3;4.3;323;78.6;1016.2;22.7
8;23:30;0;0;0;-76.46;96.56;16.0;4.4;324;78.8;1015.5;21.8
9;0:30;0;0;0;-85.34;178.53;15.8;4.6;325;79.5;1015.5;21.2
9;1:30;0;0;0;-75.71;-95.64;15.6;4.7;327;80.7;1015.5;20.6
9;2:30;0;0;0;-62.05;-87.69;15.4;4.8;328;82.4;1015.6;20.0
9;3:30;0;0;0;-48.45;-83.15;15.2;4.8;329;83.6;1015.6;19.3
9;4:30;0;0;0;-34.98;-78.98;15.0;4.7;331;84.2;1015.9;18.9
9;5:30;0;0;0;-21.67;-74.49;14.8;4.6;332;84.4;1016.7;18.6
9;6:30;0;0;0;-8.45;-69.45;14.9;4.5;333;82.7;1017.2;18.6
9;7:30;51;94;39;4.16;-63.48;16.3;5.0;334;74.5;1017.9;18.1
9;8:30;209;315;121;15.80;-56.08;18.7;6.2;335;61.7;1018.9;17.6
9;9:30;381;398;204;26.46;-46.54;20.1;6.7;334;53.1;1019.5;17.3
9;10:30;547;554;232;35.32;-34.06;21.0;6.7;331;48.2;1019.0;17.3
9;11:30;647;610;251;41.34;-18.12;21.5;6.6;327;45.2;1018.1;17.2
9;12:30;687;643;252;43.46;0.40;21.7;6.5;322;43.7;1017.1;16.7
9;13:30;650;624;245;41.16;18.85;21.7;6.5;318;43.5;1016.4;15.9
9;14:30;545;547;234;34.99;34.65;21.3;6.6;315;44.4;1016.4;15.1
9;15:30;339;266;220;26.05;46.99;20.5;6.5;313;46.8;1016.6;14.7
9;16:30;185;240;121;15.33;56.42;19.3;6.0;311;51.5;1017.0;15.2
9;17:30;35;46;28;3.74;63.76;17.7;5.1;311;58.4;1017.9;15.2
9;18:30;0;0;0;-9.09;69.68;16.7;4.6;310;64.5;1018.5;14.6
9;19:30;0;0;0;-22.22;74.69;16.1;4.4;310;68.0;1018.6;14.1
9;20:30;0;0;0;-35.54;79.16;15.6;4.3;311;70.8;1018.6;13.6
9;21:30;0;0;0;-49.06;83.47;15.1;4.3;313;72.9;1018.6;13.2
9;22:30;0;0;0;-62.69;88.25;14.7;4.3;313;74.7;1018.2;12.9
9;23:30;0;0;0;-76.34;97.09;14.3;4.3;313;76.6;1017.5;12.6
10;0:30;0;0;0;-85.27;178.29;14.1;4.3;314;78.4;1017.3;12.2
10;1:30;0;0;0;-75.77;-96.37;13.9;4.4;314;80.1;1016.7;12.0
10;2:30;0;0;0;-62.12;-88.03;13.6;4.3;315;81.5;1016.6;11.9
10;3:30;0;0;0;-48.51;-83.39;13.4;4.2;317;83.2;1016.5;12.0
10;4:30;0;0;0;-35.03;-79.18;13.3;4.0;318;84.5;1016.6;12.5
10;5:30;0;0;0;-21.71;-74.67;13.2;4.0;319;85.1;1017.1;12.8
10;6:30;0;0;0;-8.48;-69.62;13.4;3.9;319;84.0;1018.0;12.8
10;7:30;54;132;38;4.15;-63.65;15.1;4.1;319;75.6;1018.6;12.7
10;8:30;220;386;114;15.81;-56.25;17.7;4.7;320;63.4;1019.0;12.5
10;9:30;410;548;169;26.50;-46.73;19.0;4.8;320;56.3;1019.5;12.4
10;10:30;571;654;198;35.38;-34.25;20.0;4.8;316;51.4;1019.2;12.4
10;11:30;674;710;212;41.45;-18.29;20.8;5.0;313;48.4;1018.2;12.3
10;12:30;709;728;216;43.60;0.27;21.2;5.4;310;46.8;1017.7;12.2
10;13:30;671;708;212;41.33;18.79;21.2;5.6;308;46.6;1017.2;12.3
10;14:30;549;587;216;35.16;34.65;20.7;5.8;307;48.2;1016.7;12.6
10;15:30;394;504;176;26.21;47.04;20.0;5.8;307;51.1;1017.0;13.3
10;16:30;215;390;109;15.49;56.49;18.7;5.4;308;56.5;1017.4;14.4
10;17:30;49;120;35;3.87;63.84;17.2;4.6;310;64.6;1017.9;15.4
10;18:30;0;0;0;-8.94;69.78;16.1;4.5;312;71.6;1018.6;16.3
10;19:30;0;0;0;-22.09;74.80;15.5;4.4;314;76.1;1018.7;16.9
10;20:30;0;0;0;-35.41;79.30;14.9;4.2;315;79.3;1019.1;17.1
10;21:30;0;0;0;-48.94;83.66;14.5;4.0;317;81.9;1019.1;17.2
10;22:30;0;0;0;-62.58;88.53;14.1;3.9;318;83.4;1018.6;17.2
10;23:30;0;0;0;-76.22;97.64;13.7;3.8;318;84.4;1018.2;16.9
11;0:30;0;0;0;-85.20;178.02;13.4;3.6;317;85.4;1017.6;16.3
11;1:30;0;0;0;-75.83;-97.14;13.2;3.4;316;86.5;1017.3;16.0
11;2:30;0;0;0;-62.19;-88.37;13.0;3.2;314;87.3;1016.7;15.8
11;3:30;0;0;0;-48.57;-83.63;13.0;2.9;312;87.6;1016.6;15.8
11;4:30;0;0;0;-35.08;-79.39;13.0;2.7;311;87.4;1016.9;16.3
11;5:30;0;0;0;-21.75;-74.86;13.1;2.4;309;87.0;1017.4;16.5
11;6:30;0;0;0;-8.51;-69.80;13.2;2.2;306;86.2;1018.0;16.1
11;7:30;53;128;37;4.14;-63.83;14.4;2.4;306;81.0;1018.6;15.5
11;8:30;208;317;123;15.82;-56.43;16.6;2.9;312;70.3;1018.9;14.8
11;9:30;357;330;209;26.54;-46.92;18.2;3.3;319;62.2;1019.2;14.2
11;10:30;542;532;241;35.46;-34.44;19.4;3.4;322;56.4;1018.4;13.7
11;11:30;356;230;212;41.57;-18.47;20.3;3.6;323;52.1;1017.3;13.1
11;12:30;564;392;299;43.75;0.15;20.9;3.9;323;49.0;1016.1;12.5
11;13:30;622;549;268;41.50;18.74;21.1;4.3;323;47.7;1015.2;12.1
11;14:30;554;607;213;35.34;34.66;20.9;4.7;325;48.3;1014.7;11.9
11;15:30;418;612;151;26.38;47.09;20.3;5.0;327;50.9;1014.7;11.9
